Month,Boro,CD,BC_SNAP_Recipients,BC_SNAP_Households
03/01/2022,Brooklyn,K17,33334,21941
03/01/2022,Brooklyn,K18,30942,19239
03/01/2022,Queens,Q01,24891,15357
03/01/2022,Queens,Q02,12064,7714
03/01/2022,Queens,Q03,25351,14949
03/01/2022,Queens,Q04,27841,16450
03/01/2022,Queens,Q05,20891,12504
03/01/2022,Queens,Q06,11385,7736
03/01/2022,Queens,Q07,31217,20612
03/01/2022,Queens,Q08,20077,12046
03/01/2022,Queens,Q09,24925,14579
03/01/2022,Queens,Q10,17836,10951
03/01/2022,Queens,Q11,8499,5615
03/01/2022,Queens,Q12,47481,28736
03/01/2022,Queens,Q13,22704,14483
03/01/2022,Queens,Q14,30458,16840
03/01/2022,Staten Island,S01,39898,21537
03/01/2022,Staten Island,S02,16719,9747
03/01/2022,Staten Island,S03,12195,7622
06/01/2022,Manhattan,M01,1994,1539
06/01/2022,Manhattan,M02,2944,2372
06/01/2022,Manhattan,M03,38493,26291
06/01/2022,Manhattan,M04,13144,10041
06/01/2022,Manhattan,M05,4325,3555
06/01/2022,Manhattan,M06,5349,4480
06/01/2022,Manhattan,M07,17664,13000
06/01/2022,Manhattan,M08,6471,4945
06/01/2022,Manhattan,M09,23121,15171
06/01/2022,Manhattan,M10,31549,20507
06/01/2022,Manhattan,M11,44275,27773
06/01/2022,Manhattan,M12,48404,33154
06/01/2022,Bronx,B01,46470,25841
06/01/2022,Bronx,B02,23238,13062
06/01/2022,Bronx,B03,44295,24721
06/01/2022,Bronx,B04,57712,33075
06/01/2022,Bronx,B05,55698,31553
06/01/2022,Bronx,B06,40649,22517
06/01/2022,Bronx,B07,49183,28601
06/01/2022,Bronx,B08,18818,11375
06/01/2022,Bronx,B09,57669,32057
06/01/2022,Bronx,B10,21125,12782
06/01/2022,Bronx,B11,27163,15832
06/01/2022,Bronx,B12,41800,23156
06/01/2022,Brooklyn,K01,52052,21488
06/01/2022,Brooklyn,K02,14335,9820
06/01/2022,Brooklyn,K03,45566,25137
06/01/2022,Brooklyn,K04,24465,15720
06/01/2022,Brooklyn,K05,66269,38764
06/01/2022,Brooklyn,K06,11164,7365
06/01/2022,Brooklyn,K07,22882,14177
06/01/2022,Brooklyn,K08,20153,13454
06/01/2022,Brooklyn,K09,21626,13478
06/01/2022,Brooklyn,K10,19367,11615
06/01/2022,Brooklyn,K11,39133,23139
06/01/2022,Brooklyn,K12,64059,21281
06/01/2022,Brooklyn,K13,32661,21765
06/01/2022,Brooklyn,K14,32535,19281
06/01/2022,Brooklyn,K15,29478,18266
06/01/2022,Brooklyn,K16,38158,22416
06/01/2022,Brooklyn,K17,32973,21509
06/01/2022,Brooklyn,K18,30461,18820
06/01/2022,Queens,Q01,24825,15215
06/01/2022,Queens,Q02,11907,7608
06/01/2022,Queens,Q03,25249,14869
06/01/2022,Queens,Q04,28104,16543
06/01/2022,Queens,Q05,20884,12426
06/01/2022,Queens,Q06,11397,7732
06/01/2022,Queens,Q07,31905,21028
06/01/2022,Queens,Q08,20187,12013
06/01/2022,Queens,Q09,24915,14449
06/01/2022,Queens,Q10,17918,10892
06/01/2022,Queens,Q11,8755,5733
06/01/2022,Queens,Q12,47083,28232
06/01/2022,Queens,Q13,22294,14176
06/01/2022,Queens,Q14,30100,16517
09/01/2018,MANHATTAN,M01,2245,1762
09/01/2018,MANHATTAN,M02,3170,2481
09/01/2018,MANHATTAN,M03,37948,25250
09/01/2018,MANHATTAN,M04,11664,8750
09/01/2018,MANHATTAN,M05,4236,3255
09/01/2018,MANHATTAN,M06,4909,4200
09/01/2018,MANHATTAN,M07,16486,12354
09/01/2018,MANHATTAN,M08,5626,4447
09/01/2018,MANHATTAN,M09,23051,14859
09/01/2018,MANHATTAN,M10,34404,21425
09/01/2018,MANHATTAN,M11,43308,26502
09/01/2018,MANHATTAN,M12,49147,32704
09/01/2018,BROOKLYN,K01,52715,20495
09/01/2018,BROOKLYN,K02,13791,9070
09/01/2018,BROOKLYN,K03,45971,24357
09/01/2018,BROOKLYN,K04,26548,15640
09/01/2018,BROOKLYN,K05,63518,35199
09/01/2018,BROOKLYN,K06,9973,6431
09/01/2018,BROOKLYN,K07,23563,13326
09/01/2018,BROOKLYN,K08,21624,13495
09/01/2018,BROOKLYN,K09,21469,12636
09/01/2018,BROOKLYN,K10,17422,9843
09/01/2018,BROOKLYN,K11,38010,21758
09/01/2018,BROOKLYN,K12,63664,20755
09/01/2018,BROOKLYN,K13,33044,21261
09/01/2018,BROOKLYN,K14,33345,18925
09/01/2018,BROOKLYN,K15,28852,17402
09/01/2018,BROOKLYN,K16,36694,20127
09/01/2018,BROOKLYN,K17,31305,19133
09/01/2018,BROOKLYN,K18,28165,16579
09/01/2018,BRONX,B01,45575,23980
09/01/2018,BRONX,B02,22974,12277
09/01/2018,BRONX,B03,42384,22379
09/01/2018,BRONX,B04,59231,32012
09/01/2018,BRONX,B05,58005,30913
09/01/2018,BRONX,B06,39784,20964
09/01/2018,BRONX,B07,48003,26293
09/01/2018,BRONX,B08,16716,9851
09/01/2018,BRONX,B09,54113,29193
09/01/2018,BRONX,B10,17627,10637
09/01/2018,BRONX,B11,24271,13877
09/01/2018,BRONX,B12,37611,20363
09/01/2018,QUEENS,Q01,22894,13500
09/01/2018,QUEENS,Q02,10997,6764
09/01/2018,QUEENS,Q03,26817,15130
09/01/2018,QUEENS,Q04,27631,15677
09/01/2018,QUEENS,Q05,19120,10848
09/01/2018,QUEENS,Q06,10223,7008
09/01/2018,QUEENS,Q07,26410,17168
09/01/2018,QUEENS,Q08,17920,10546
09/01/2018,QUEENS,Q09,22826,12718
09/01/2018,QUEENS,Q10,16276,9519
09/01/2018,QUEENS,Q11,6481,4333
09/01/2018,QUEENS,Q12,45153,26659
09/01/2018,QUEENS,Q13,19413,12250
09/01/2018,QUEENS,Q14,29212,15671
09/01/2018,STATEN ISLAND,S01,38119,19881
09/01/2018,STATEN ISLAND,S02,14114,8325
09/01/2018,STATEN ISLAND,S03,9883,6229
12/01/2018,BRONX,B01,43641,23307
12/01/2018,BRONX,B02,21554,11736
12/01/2018,BRONX,B03,40500,21814
12/01/2018,BRONX,B04,55973,30618
12/01/2018,BRONX,B05,54018,29318
12/01/2018,BRONX,B06,38141,20394
12/01/2018,BRONX,B07,44791,25235
12/01/2018,BRONX,B08,15859,9523
12/01/2018,BRONX,B09,51447,28001
12/01/2018,BRONX,B10,17421,10544
12/01/2018,BRONX,B11,23286,13534
12/01/2018,BRONX,B12,36510,19927
12/01/2018,BROOKLYN,K01,50611,19968
12/01/2018,BROOKLYN,K02,13105,8806
12/01/2018,BROOKLYN,K03,43051,23061
12/01/2018,BROOKLYN,K04,23790,14371
12/01/2018,BROOKLYN,K05,61878,34785
12/01/2018,BROOKLYN,K06,9752,6452
12/01/2018,BROOKLYN,K07,21169,12330
12/01/2018,BROOKLYN,K08,19932,12626
12/01/2018,BROOKLYN,K09,20104,12156
12/01/2018,BROOKLYN,K10,16550,9611
12/01/2018,BROOKLYN,K11,35305,20694
12/01/2018,BROOKLYN,K12,59507,19431
12/01/2018,BROOKLYN,K13,31486,20837
12/01/2018,BROOKLYN,K14,30466,17745
12/01/2018,BROOKLYN,K15,27601,17010
12/01/2018,BROOKLYN,K16,36343,20081
12/01/2018,BROOKLYN,K17,29471,18464
12/01/2018,BROOKLYN,K18,27371,16380
12/01/2018,MANHATTAN,M01,2091,1680
12/01/2018,MANHATTAN,M02,2937,2333
12/01/2018,MANHATTAN,M03,36068,24511
12/01/2018,MANHATTAN,M04,11529,8671
12/01/2018,MANHATTAN,M05,5707,3829
12/01/2018,MANHATTAN,M06,4983,4314
12/01/2018,MANHATTAN,M07,16080,12068
12/01/2018,MANHATTAN,M08,5490,4367
12/01/2018,MANHATTAN,M09,21830,14223
12/01/2018,MANHATTAN,M10,32765,20732
12/01/2018,MANHATTAN,M11,41649,25977
12/01/2018,MANHATTAN,M12,45582,30979
12/01/2018,QUEENS,Q01,21830,13067
12/01/2018,QUEENS,Q02,10534,6621
12/01/2018,QUEENS,Q03,23959,13722
12/01/2018,QUEENS,Q04,25154,14573
12/01/2018,QUEENS,Q05,17539,10258
12/01/2018,QUEENS,Q06,9871,6860
12/01/2018,QUEENS,Q07,25456,16689
12/01/2018,QUEENS,Q08,17087,10305
12/01/2018,QUEENS,Q09,21275,12212
12/01/2018,QUEENS,Q10,15609,9359
12/01/2018,QUEENS,Q11,6319,4312
12/01/2018,QUEENS,Q12,42784,25723
12/01/2018,QUEENS,Q13,18536,11837
12/01/2018,QUEENS,Q14,28537,15315
12/01/2018,STATEN ISLAND,S01,36386,19289
12/01/2018,STATEN ISLAND,S02,13799,8226
12/01/2018,STATEN ISLAND,S03,9771,6233
03/01/2019,BRONX,B01,43127,23086
03/01/2019,BRONX,B02,21203,11531
03/01/2019,BRONX,B03,40628,21829
03/01/2019,BRONX,B04,55067,30205
03/01/2019,BRONX,B05,53602,29021
03/01/2019,BRONX,B06,37803,20308
03/01/2019,BRONX,B07,44357,25149
03/01/2019,BRONX,B08,15705,9398
03/01/2019,BRONX,B09,50759,27846
03/01/2019,BRONX,B10,17192,10490
03/01/2019,BRONX,B11,23107,13461
03/01/2019,BRONX,B12,36142,19757
03/01/2019,BROOKLYN,K01,50622,19950
03/01/2019,BROOKLYN,K02,13107,8806
03/01/2019,BROOKLYN,K03,42916,22991
03/01/2019,BROOKLYN,K04,23579,14304
03/01/2019,BROOKLYN,K05,61594,34850
03/01/2019,BROOKLYN,K06,9712,6488
03/01/2019,BROOKLYN,K07,20782,12182
03/01/2019,BROOKLYN,K08,19772,12636
03/01/2019,BROOKLYN,K09,19898,12076
03/01/2019,BROOKLYN,K10,16441,9635
03/01/2019,BROOKLYN,K11,34870,20563
03/01/2019,BROOKLYN,K12,59370,19344
03/01/2019,BROOKLYN,K13,31388,20782
03/01/2019,BROOKLYN,K14,29935,17531
03/01/2019,BROOKLYN,K15,27338,16964
03/01/2019,BROOKLYN,K16,36292,20171
03/01/2019,BROOKLYN,K17,29409,18576
03/01/2019,BROOKLYN,K18,27326,16368
03/01/2019,MANHATTAN,M01,2178,1749
03/01/2019,MANHATTAN,M02,2853,2306
03/01/2019,MANHATTAN,M03,35791,24382
03/01/2019,MANHATTAN,M04,11565,8657
